title,url,tags
社團法人中華民國自主學習促進會,www.alearn.org.tw,自學 自主學習 學生 家長 教師 支持
自學地圖,map.alearn.org.tw,自學 申請 流程 地圖 家長
自學支持與學習資源,http://bestian.github.io/shackhand/list_printer.html, 可列印 互助 資料庫
自學2.0,http://bestian.github.io/shackhand/auto20,地圖 互助 實體 社交 活動
萌典,https://www.moedict.tw,字典 中文 閩南語 客語 英文 法文 工具
自由數學,math.alearn.org.tw,數學 線上 列印 讀寫 9~18歲 中文 學生 家長 教師 自由數學
可汗學院,khanacademy.org,數學 線上 影音 習題 6~18歲 英文 學生 自學
一小時學會寫程式,code.org,程式 線上 影音 遊戲 7+歲 英文 中文字幕 學生 自學
台灣開放式課程聯盟,http://www.tocwc.org.tw/,線上 課堂 大學 學生
Coursera開放式課程,https://www.coursera.org/,線上 課堂 大學 學生 英文
1know翻轉學習,http://1know.net/,各領域 線上 匯整 教師 家長 學生
台北市自閉症家長協會,http://www.tpaa.org.tw,自閉症 家長 互助 支持 台北市
中華民國學習障礙協會,http://ald.daleweb.org,學習障礙 家長 互助 支持
社團法人台灣赤子心過動症協會,http://www.adhd.org.tw,過動 學生 家長 互助 支持
台灣妥瑞症協會,http://www.ttfa.org.tw/, 妥瑞症 家長 互助 支持
明師高徒計畫,http://www.etraining.gov.tw/STHAWEB/,學徒制 18~30歲 技職 做中學 勞委會 職訓局









